name,address1,city,state,code,country,website,descript
Fratellos Restaurant and Brewery,4301 West Wisconsin,Appleton,Wisconsin,54915,United States,,
Frederic Robinson Ltd.,Unicorn Brewery,Stockport,Cheshire,,United Kingdom,,
Frederick Brewing,4607 Wedgewood Boulevard,Frederick,Maryland,20176,United States,,
Free State Brewing,636 Massachusetts,Lawrence,Kansas,66044,United States,http://freestatebrewing.com/,
Freeminer Brewery,Whimsey Road,Cinderford,Gloucestershire,,United Kingdom,,
Friesisches Brauhaus zu Jever,Elisabethufer 18,Jever,Niedersachsen,,Germany,,
Front Street Brewery,208 East River Drive,Davenport,Iowa,52801,United States,,
Frontwaters Restaurant and Brewing,,Marblehead,Ohio,,United States,,
Frstliche Brauerei Thurn Und Taxis Regensburg,Waffnergasse 6-8,Regensburg,Bayern,,Germany,,
Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon,97031,United States,,
"Fuller, Smith & Turner PBC",Chiswick Lane South,London,London,,United Kingdom,http://www.fullers.co.uk/,
FÃ¼rstlich FÃ¼rstenbergische Brauerei,Postplatz 1-4,Donaueschingen,Baden-Wrttemberg,,Germany,,
G. Heileman Brewing,,La Crosse,Wisconsin,,United States,,
Gaslight Brewery,15 South Orange Avenue,South Orange,New Jersey,7079,United States,,
Gasthaus & Gosebrauerei Bayerischer Bahnhof,Bayerischer Platz 1,Leipzig,Sachsen,,Germany,,
Gasthaus-Brauerei Max & Moritz,Weinbichl 6,Kressbronn am Bodensee,Baden-Wrttemberg,,Germany,,
Gasthof-Brauerei zum Frohsinn,Romanshornerstrasse 15,Arbon,,,Switzerland,,
